id,word,reading,meaning,sentence,tags
85,近所,きんじょ,"сосeдний, соседнее место",近所の人とは仲良くしたほうがいい,Unit 01
86,警察,けいさつ,полиция,自転車を盗まれたので、警察に届けた,Unit 01
87,犯人,はんにん,преступнк,事件の犯人,Unit 01
88,小銭,こぜに,мелкие деньги,バスに乗ってから、小銭がないことに気が付き、とても困った,Unit 01
89,ごちそう,ごちそう,угощения,家族皆でご馳走を食べて、祖父の誕生日を祝った,Unit 01
90,作者,さくしゃ,"писатель, автор",小説の作者,Unit 01
91,作品,さくひん,"произведение, авторская работа",学生の作品をロビーに展示する,Unit 01
92,制服,せいふく,школьная форма,日本の中学校には制服のある学校が多い,Unit 01
93,洗剤,せんざい,моющее средство,洗剤で食器を洗う,Unit 01
94,底,そこ,дно,靴の底に穴が空く,Unit 01
95,地下,ちか,подвал,大都市は地下の開発が進んでいる,Unit 01
96,寺,てら,храм,寺に参る,Unit 01
97,道路,どうろ,дорога,道路が込む,Unit 01
98,坂,さか,склон,坂を上る,Unit 01
99,煙,けむり,дым,火事のときは煙に注意して逃げてください,Unit 01
100,灰,はい,пепел,煙草の灰,Unit 01
101,判,はん,личная печать,書類に判を押す,Unit 01
102,名刺,めいし,визитка,名刺を交換する,Unit 01
103,免許,めんきょ,лицензия,レストランを開くには調理師の免許が必要だ,Unit 01
104,多く,おおく,много,オリンピックには多くの国が参加した,Unit 01
105,前半,ぜんはん,первая половина,映画の前半は退屈だったが、後半は面白かった,Unit 01
106,後半,こうはん,вторая половина,映画の前半は退屈だったが、後半は面白かった,Unit 01
107,最高,さいこう,"самый лучший, самый высокий",最高気温,Unit 01
108,最低,さいてい,самый низкий,最低気温,Unit 01
109,最初,さいしょ,вначале,最初にひらがなを、次にカタカナを勉強した,Unit 01
110,最後,さいご,самый последний,あとから来た人は列の最後に並んでください,Unit 01
111,自動,じどう,самодвижущийся,このドアは自動だから、手で開けなくてもいい,Unit 01
112,種類,しゅるい,"тип, сорт",公園には色々な種類の花がある,Unit 01
113,性格,せいかく,характер,あの人は性格がいいので、みんなに好かれている,Unit 01
114,性質,せいしつ,"характеристика, характер, натура",この布は燃えにくい性質を持っている,Unit 01
115,順番,じゅんばん,"очередь, очередность",発表の順番を決める,Unit 01
116,番,ばん,"порядок, номер, очередь",次は私の番だ,Unit 01
117,方法,ほうほう,способ,いい方法を探す,Unit 01
118,製品,せいひん,"готовая продукция, товары",完成した製品を検査する,Unit 01
119,値上がり,ねあがり,повышение цены,食品の値上がり,Unit 01
120,生,なま,"свежий, в сыром виде",生の魚,Unit 01
121,渇く,かわく,хотеть пить (один глагол),喉が渇いた,Unit 02
