id,word,reading,meaning,sentence,tags
335,うわさ,うわさ,"слухи, толки, молва",クラスメートの噂をしていたら、そこに本人が現れた,Unit 04
336,情報,じょうほう,информация ;,テレビから色々な情報を得る,Unit 04
337,交換,こうかん,"обмен; размен, замена; замещение",プレゼントを交換する,Unit 04
338,流行,りゅうこう,"мода, эпидемия;",新しい流行,Unit 04
339,宣伝,せんでん,пропаганда; реклама,バーゲンセールの宣伝が始まった,Unit 04
340,広告,こうこく,объявление; реклама; афиша,新聞に新製品の広告が載っていた,Unit 04
341,注目,ちゅうもく,внимание; наблюдение,有名歌手の結婚が注目を集めている,Unit 04
342,通訳,つうやく,[устный] перевод; переводчик,英語を日本語に通訳する,Unit 04
343,翻訳,ほんやく,[письменный] перевод ;,日本語の小説を英語に翻訳する,Unit 04
344,伝言,でんごん, [устное] сообщение,留守番電話に伝言を残す,Unit 04
345,報告,ほうこく,"доклад, отчёт, сообщение, донесение, рапорт",出張の報告,Unit 04
346,録画,ろくが,видеозапись; видеолента,テレビ番組をビデオに録画する,Unit 04
347,混雑,こんざつ,"сутолока, суматоха, суета",デパートは大勢の人で混雑している,Unit 04
348,渋滞,じゅうたい,задержка; застой; транспортная пробка,道路が渋滞していて、会議に遅刻した,Unit 04
349,衝突,しょうとつ,"столкновение (напр. автомобилей); конфликт, ссора",電車の衝突の場面を見た,Unit 04
350,被害,ひがい,"ущерб, потери, убытки",台風の被害,Unit 04
351,事故,じこ,"происшествие, авария; несчастный случай; [непреодолимые] обстоятельства",事故の原因を調べる,Unit 04
352,事件,じけん,"происшествие, событие, случай, инцидент; юр. дело",近所で子供が次々とい無くなるという事件があった,Unit 04
353,故障,こしょう,"препятствие, помеха; авария",洗濯機が故障したので、コインランドリーへ行った,Unit 04
354,修理,しゅうり,"ремонт, починка",パソコンが壊れたので、修理に出した,Unit 04
355,停電,ていでん,отключение электричества (подачи электроэнергии),雷が落ちて停電した,Unit 04
356,調子,ちょうし,"тон; интонация, муз. ритм; темп, манера ;",体の調子がいい,Unit 04
357,緊張,きんちょう,"напряжение, напряжённость",面接では緊張して、上手く答えられなかった,Unit 04
358,自信,じしん,уверенность [в себе];,体力に自信がある,Unit 04
359,自慢,じまん,"самодовольство; хвастовство, гордость",自慢の料理を作る,Unit 04
360,感心,かんしん,"восхищение, восторг",チンさんの進歩の速さに感心した,Unit 04
361,感動,かんどう,"волнение, впечатление",パラリンピックを見て、とても感動した,Unit 04
362,興奮,こうふん,возбуждение,試合を見ていた観客たちは、興奮して大声を出した,Unit 04
363,感想,かんそう,впечатления,ご感想はいかがですか,Unit 04
364,予想,よそう,"предположения, ожидания",選挙の結果を予想する,Unit 04
365,専門,せんもん,специальность,専門は言語学です,Unit 04
366,研究,けんきゅう,"исследования, научная работа",私は大学で日本の政治を研究している,Unit 04
367,調査,ちょうさ,"исследование, обследование, изучение",調査を行う,Unit 04
368,原因,げんいん,"причина; фактор; корень, источник",今警察が事故の原因を調べている,Unit 04
369,結果,けっか,"результат, эффект, [по] следствие",一位になりたかったが、結果は三位だった,Unit 04
370,解決,かいけつ,[раз] решение (вопроса и т. п.),大きな問題が解決した,Unit 04
371,確認,かくにん,"подтверждение, признание",間違いがないかどうかを確認する,Unit 04
372,利用,りよう,использование,水不足なので、水道の利用を減らした,Unit 04
373,理解,りかい,понимание,意味の理解,Unit 04
374,発見,はっけん,открытие,大きな発見,Unit 04
375,発明,はつめい,изобретение;  одарённость,ベルは電話を発明した,Unit 04
376,関係,かんけい,"отношение, касательство, связь, влияние",お二人の関係は、親子です,Unit 04
377,団体,だんたい,"группа, коллектив; организация, объединение",博物館で団体のチケットを買う,Unit 04
378,選挙,せんきょ,выборы,一月に選挙が行われる,Unit 04
379,税金,ぜいきん,налог; пошлина; сбор,年度末に税金を払う,Unit 04
380,責任,せきにん,ответственность,この失敗はあなたの責任ではない,Unit 04
381,書類,しょるい,"документы, бумаги",留学の手続きに必要な書類を準備する,Unit 04
382,題名,だいめい,"заглавие, название",コンクールに出す作品に題名を付ける,Unit 04
383,条件,じょうけん,условие; условия,運転免許を持っていることが採用の条件だ,Unit 04
384,締め切り,しめきり,"крайний срок, последний день (подачи заявок и т. п. );",レポートの締め切りは三十日です,Unit 04
385,期間,きかん,"период, срок, отрезок времени",申し込み期間は十二月一日から三日までです,Unit 04
386,倍,ばい,"удваивать; двойной, удвоенный",値段が倍になる,Unit 04
387,くじ,くじ,жребий; лотерея,スーパーで買い物をして、くじを引いたら、テレビが当たった,Unit 04
388,近道,ちかみち,кратчайший (прямой) путь,駅への近道を通る,Unit 04
389,中心,ちゅうしん,"центр; середина; средоточие, равновесие",町の中心,Unit 04
390,辺り,あたり,ближайшее окружение; окрестности,辺りを見回す,Unit 04
391,周り,まわり,"окружность, круг, край, кромка, кайма",池の周りを歩く,Unit 04
392,穴,あな,"отверстие, дыра; скважина; щель; трещина",地面に穴を掘る,Unit 04
393,列,れつ,ряд; шеренга; колонна; вереница; очередь,入口の前には長い列ができていた,Unit 04
394,幅,はば,"Ширина, влияние, вес (в идиомах)",道の幅が広い,Unit 04
395,範囲,はんい,"сфера, область, круг; диапазон; пределы",試験の範囲,Unit 04
396,内容,ないよう,"содержание, содержимое;",話の内容,Unit 04
397,中身,なかみ,"содержимое, содержание; наполнитель;",箱を開けて中身を見る,Unit 04
398,特徴,とくちょう,"отличительная (характерная) черта, особенность, своеобразие",商品の特徴を確かめる,Unit 04
399,普通,ふつう,обычный; простой; нормальный,パスポートの申請には一週間ぐらいかかるのが普通だ,Unit 04
400,当たり前,あたりまえ,"естественно, ничего удивительного, само собой разумеется",そんな酷いことをされたら、怒るのが当たり前だ,Unit 04
401,偽,にせ,"подделка, фальшивка",偽の銀行員に騙されてお金を取られた,Unit 04
402,別,べつ,"различие, разница, особо, отдельно, специально",米はご飯とは別の物だ,Unit 04
403,国籍,こくせき,"гражданство, подданство",私はずっとアメリカで暮らしているが、国籍は日本だ,Unit 04
404,東洋,とうよう,"Восток, страны Востока",東洋の文化と西洋の文化を比べる,Unit 04
405,西洋,せいよう,"Запад, страны Запада",東洋の文化と西洋の文化を比べる,Unit 04
406,国際,こくさい,"международный, интернациональный",日本企業の海外支社でのトラブルが国際問題に発展した,Unit 04
407,自然,しぜん,природа,山や海へ行って、自然の中で過ごす,Unit 04
408,景色,けしき,"вид, пейзаж",初めて日本の山に行った、素晴らしい景色だった,Unit 04
409,宗教,しゅうきょう,религия,世界には色々な宗教がある,Unit 04
410,愛,あい,любовь,私は家族を愛している,Unit 04
411,届く,とどく,"доставать, достигать, доходить",父から手紙が届いた,Unit 05
412,届ける,とどける,"доставлять, заявлять, докладывать",隣の家に旅行のお土産を届けた,Unit 05
413,かく,かく,"чесать, сгребать, сидеть скрестив ноги, отрубать, потеть",頭を掻く,Unit 05
414,つかむ,つかむ,"хватать, схватывать",電車で突然腕を掴まれて、びっくりした,Unit 05
415,握る,にぎる,"брать (в руки), держать, захватывать, получать",子供は怖がって、母親の手を強く握った,Unit 05
416,押さえる,おさえる,"надавить, прикрыть (руками)",あの人はお腹を押さえて、座っている、腹痛だろうか,Unit 05
417,近づく,ちかづく,"приближаться, подходить",目的地が近づいてきた,Unit 05
418,近づける,ちかづける,"придвигать, приближать, подпускать",車を道の脇に近づける,Unit 05
419,合う,あう,"подходить (для чего-либо), совпадать, быть правильным",不図顔を上げると、先生と目が合ってしまった,Unit 05
420,合わせる,あわせる,"(при)соединять, согласовывать, сличать, сопоставлять",皆で力を合わせて頑張りましょう,Unit 05
421,当たる,あたる,"попадать (в цель), оказываться правильным, иметь успех, быть уместным",ボールが当たって、窓ガラスが割れた,Unit 05
422,当てる,あてる,"накладывать, попадать (в цель), угадать, предназначать",相手選手のボールが早いので、ラケットに当てるのも大変だ,Unit 05
423,比べる,くらべる,сравнивать,東京と大阪の面積を比べる,Unit 05
424,似合う,にあう,быть подходящим,彼女は着物が良く似合う,Unit 05
425,似る,にる,"быть похожим, походить",彼女は母親に良く似ている,Unit 05
426,似せる,にせる,"копировать, подделывать",アイドルに髪型を似せる,Unit 05
427,分かれる,わかれる,"разделять, отделять, расставаться",トイレは男性用と女性用に分かれている,Unit 05
428,分ける,わける,"делить. Разъединять, сортировать",財産を三人の子供に分ける,Unit 05
429,足す,たす,"добавлять, прибавлять",味が薄かったので、塩を足した,Unit 05
430,引く,ひく,"тянуть, тащить, привлекать (внимание), проводить (линию)",このドアは押すのではなく、引いて開けるんです,Unit 05
431,増える,ふえる,"увеличиваться, ;прибавляться",貯金が増える,Unit 05
432,増やす,ふやす,"увеличивать, приумноать",貯金を増やす,Unit 05
433,減る,へる,"уменьшаться, сокращаться, стираться",貯金が減る,Unit 05
434,減らす,へらす,"уменьшать, сокращать, снижать",貯金を減らす,Unit 05
435,変わる,かわる,"изменяться, отличаться<br><br>",季節が変わる,Unit 05
436,変える,かえる,"менять, изменять",髪型を変える,Unit 05
437,代わる／替わる／換わる,かわる,"заменять, замещать, приходить на смену",四月に店長が変わった,Unit 05
438,代える／替える／換える,かえる,"менять (одно на другое), заменять",千円札を百円玉に変えてもらった,Unit 05
439,返る,かえる,"возвращаться (к чему-либо), быть отданным обратно",友達に貸したお金が返ってきた,Unit 05
440,返す,かえす,"возвращать, отдавать обратно",この本は二週間以内に図書館に返さなければならない,Unit 05
441,譲る,ゆずる,"отдавать, передавать, уступать (права, место, дорогу)",電車の中で、お年寄りに席を譲った,Unit 05
442,助かる,たすかる,спасаться,飛行機が落ちたが、三人が助かった,Unit 05
443,助ける,たすける,спасать,川に落ちた子供を助けた,Unit 05
444,いじめる,いじめる,"мучить, издеваться",弟を苛める,Unit 05
445,だます,だます,"обманывать. Околдовывать, успокаивать",彼は独身だと騙して、五人の女性と付き合っていた,Unit 05
446,盗む,ぬすむ,"красть, воровать",留守中に泥棒に入られて、お金を盗まれてしまった,Unit 05
447,刺さる,ささる,"вонзиться, застрять",指に棘が刺さって、痛い,Unit 05
448,刺す,さす,"вонзать, втыкать, жалить, шить",指に棘を刺してしまった,Unit 05
449,殺す,ころす,убивать,ゴキブリをスリッパで叩いて、殺した,Unit 05
450,隠れる,かくれる,"прятаться, скрываться<br><br>",逃げた犯人は空き家に隠れていた,Unit 05
451,隠す,かくす,"прятать, скрывать",お金を引き出しの奥に隠した,Unit 05
452,埋まる,うまる,"быть закрытым, быть заполненным",山が崩れて家が埋まってしまった,Unit 05
453,埋める,うめる,"закапывать, хоронить, заполнять<br><br>",穴を掘って、ごみを埋めた,Unit 05
454,囲む,かこむ,"окружать, осаждать",テーブルを囲んで、座る,Unit 05
455,詰まる,つまる,"быть полным, набитым, стать короче",かばんにたくさん荷物が詰まっていて、重い,Unit 05
456,詰める,つめる,"набивать, наполнять, сокращать",かばんに荷物を詰める,Unit 05
457,開く,ひらく,"открывать, раскрывать, учреждать",ドアが開く,Unit 05
458,閉じる,とじる,"закрывать, запирать",エレベーターのドアが閉じた,Unit 05
459,飛ぶ,とぶ,"летать, нестись, прыгать",鳥が空を飛んでいる,Unit 05
460,飛ばす,とばす,"пускать (по воздуху), бросать вверх, выпускать",紙飛行機を飛ばす,Unit 05
461,振る,ふる,"махать, трясти, бросать, отвергать",手を振る,Unit 05
462,めくる,めくる,"перелистывать, снимать, сдирать",カードを捲る,Unit 05
463,見かける,みかける,"видеть, замечать",街で偶然、昔の友達を見かけた,Unit 05
464,確かめる,たしかめる,"удостоверяться, уточнять",ファックスが届いたかどうか、相手に電話して確かめた,Unit 05
465,試す,ためす,"испытывать, проверять",洋服が似合うかどうか、着て試してみた,Unit 05
466,繰り返す,くりかえす,"повторять, делать снова",同じ失敗を繰り返してはいけません,Unit 05
467,訳す,やくす,переводить,英語を日本語に訳す,Unit 05
468,行う,おこなう,проводить (мероприятия),試験を行う,Unit 05
469,間違う,まちがう,ошибаться,この計算は間違っている,Unit 05
470,間違える,まちがえる,ошибаться,テストの答えを間違えた,Unit 05
471,許す,ゆるす,"разрешать, позволять, прощать. Извинять",酷いことを言われて、喧嘩になったが、相手が謝ったので許してあげた,Unit 05
472,慣れる,なれる,"привыкать, приучать, свыкаться",日本へ来て半年経って、生活にも慣れた,Unit 05
473,慣らす,ならす,приучать,準備運動をして、体を慣らしてから、プールに入ったほうがいい,Unit 05
474,立つ,たつ,"стоять, вставать, быть воздвигнутым",名前を呼ばれたら、立ってください,Unit 05
475,立てる,たてる,"ставить, строить, воздвигать",屋根の上にアンテナを立てる,Unit 05
476,建つ,たつ,"быть воздвигнутым, выситься, быть основанным",家の前に大きなマンションが建った,Unit 05
477,建てる,たてる,"строить, воздвигать, основывать",都心に家を建てるのは大変だ,Unit 05
478,育つ,そだつ,"расти, воспитываться",雨が多い年は、米が良く育つ,Unit 05
479,育てる,そだてる,"воспитывать, растить",母は五人の子供を育てた,Unit 05
480,生える,はえる,"расти (о растениях, зубах, ногтях, волосах)",髪が生える,Unit 05
481,生やす,はやす,"отпускать, носить (бороду, усы)",髭を生やす,Unit 05
482,汚れる,よごれる,пачкаться,空気の汚れた所には住みたくない,Unit 05
483,汚す,よごす,пачкать,泥遊びをして、服を汚した,Unit 05
484,壊れる,こわれる,"ломаться, разбиваться, разрушаться",家が壊れる,Unit 05
485,壊す,こわす,"разрушать, ломать, разбивать (на части)",家を壊す,Unit 05
486,割れる,われる,"ломаться, разбиваться, трескаться, разделяться",ガラスが割れる,Unit 05
487,割る,わる,"делить, разделять, ломать, раскалывать",ガラスを割る,Unit 05
488,折れる,おれる,"ломаться, складываться",強い風で枝が折れた,Unit 05
489,折る,おる,"ломать, сгибать",スキーをして、足の骨を折った,Unit 05
490,破れる,やぶれる,"разбиваться, рваться, ломаться",紙が破れる,Unit 05
491,破る,やぶる,"разбивать, ломать, рвать",紙を破る,Unit 05
492,曲がる,まがる,гнуться,曲がった道,Unit 05
493,曲げる,まげる,"гнуть, сгибать, искривлять",針金を曲げる,Unit 05
494,外れる,はずれる,"соскакиввать, соскальзывать, не попадать, не удаваться",ボタンが外れる,Unit 05
495,外す,はずす,"отцеплять, разъединять, снимать, упускать",メガネを外す,Unit 05
496,揺れる,ゆれる,"качаться, колебаться, дрожать",風で木の葉が揺れている,Unit 05
497,揺らす,ゆらす,"трясти, качать, колебать",子供の乗ったブランコを揺らして遊ばせた,Unit 05
498,流れる,ながれる,"течь, плыть (по течению)",町の中心を大きな川が流れている,Unit 05
499,流す,ながす,пускать (по течению),汚れた水を川に流してはいけない,Unit 05
500,濡れる,ぬれる,промокать,雨に濡れて風邪を引いた,Unit 05
501,濡らす,ぬらす,мочить,水を零して、服を濡らしてしまった,Unit 05
502,迷う,まよう,"сомневаться, заблуждаться",道に迷う,Unit 05
503,悩む,なやむ,"страдать, мучиться",就職するか、進学するか、悩んでいる,Unit 05
504,慌てる,あわてる,"волноваться, нервничать, суетиться",学校に遅れそうになって、慌てて家を出た,Unit 05
505,覚める,さめる,"просыпаться, протрезвляться",昨夜は暑くて、夜中に何度も目が覚めた,Unit 05
506,覚ます,さます,"просыпаться, отрезвлять",目を覚ますと、もう十時だった,Unit 05
507,眠る,ねむる,"засыпать, спать",入試の前の日、緊張して良く眠れなかった,Unit 05
508,祈る,いのる,молиться,家族の健康を神に祈った,Unit 05
509,祝う,いわう,праздновать,新年を祝って、乾杯した,Unit 05
510,感じる,かんじる,чувствовать,寒さを感じる,Unit 05
511,クラスメート,クラスメート,одноклассник,,Unit 06
512,グループ,グループ,группа,,Unit 06
513,チーム,チーム,команда,,Unit 06
514,プロフェッショナル／プロ,プロフェッショナル／プロ,профессионал,,Unit 06
515,アマチュア,アマチュア,（アマ）,,Unit 06
516,トレーニング,トレーニング,обучение,,Unit 06
517,マッサージ,マッサージ,массаж,,Unit 06
518,アドバイス,アドバイス,совет,,Unit 06
519,アイデア／アイディア,アイデア／アイディア,идея,,Unit 06
520,トップ,トップ,"рейтинг, топ",,Unit 06
521,スピード,スピード,скорость,,Unit 06
522,ラッシュ,ラッシュ,"суматоха, суета",,Unit 06
523,バイク,バイク,мотоцикл,,Unit 06
524,ヘルメット,ヘルメット,"шлем, каска",,Unit 06
525,コンタクトレンズ／コンタクト,コンタクトレンズ／コンタクト,контактные линзы,,Unit 06
526,ガラス,ガラス,стекло,,Unit 06
527,プラスチック,プラスチック,"пластик, пластмасса",,Unit 06
528,ベランダ,ベランダ,балкон,,Unit 06
529,ペット,ペット,"питомец, домашнее животное",,Unit 06
530,ベンチ,ベンチ,"скамейка, лавка",,Unit 06
531,デザイン,デザイン,дизайн,,Unit 06
532,バーゲンセール,バーゲンセール,дешевая распродажа,,Unit 06
533,パート,パート,"часть, партия",,Unit 06
534,コンビニエンスストア／コンビニ,コンビニエンスストア／コンビニ,небольшой магазин,,Unit 06
535,レジ,レジ,"касса, кассир",,Unit 06
536,レシート,レシート,квитанция,,Unit 06
537,インスタント,インスタント,"быстрый, быстрого приготовления",,Unit 06
538,ファストフード,ファストフード,фастфуд,,Unit 06
539,フルーツ,フルーツ,фрукты,,Unit 06
540,デザート,デザート,десерт,,Unit 06
541,インターネット,インターネット,интернет,,Unit 06
542,チャイム,チャイム,"перезвон, колокола, дверной звонок",,Unit 06
543,アナウンス,アナウンス,диктор,,Unit 06
544,メッセージ,メッセージ,сообщение,,Unit 06
545,パンフレット,パンフレット,"буклет, брошюра, проспект",,Unit 06
546,カード,カード,карточка,,Unit 06
547,インタビュー,インタビュー,интервью,,Unit 06
548,アンケート,アンケート,"анкета, опрос",,Unit 06
549,データ,データ,"данные, информация",,Unit 06
550,パーセント,パーセント,процент,,Unit 06
551,濃い,こい,"густой, крепкий",色が濃い,Unit 07
552,薄い,うすい,"тонкий, слабый, жидкий",薄い本,Unit 07
553,酸っぱい,すっぱい,кислый,レモンは酸っぱい,Unit 07
554,臭い,くさい,"зловонный, вонючий",納豆は臭いから、嫌いだという日本人も多い,Unit 07
555,おかしい,おかしい,"смешной, странный, чудной",山本君は授業中にいつもおかしいことを言って、皆を笑わせる,Unit 07
556,かっこいい,かっこいい,клевый,あの先輩はかっこいいので、人気がある,Unit 07
557,うまい,うまい,умелый,母は料理がうまい,Unit 07
558,親しい,したしい,"дружеский, близкий, задушевный",私は田中さんと親しい,Unit 07
559,詳しい,くわしい,подробный,この地図はとても詳しい,Unit 07
560,細かい,こまかい,"мелкий, тонкий, тщательный, скупой",新聞の字は細かくて、お年寄りには読みづらい,Unit 07
561,浅い,あさい,"мелкий, поверхностный",この川は浅いので、子供が泳いでも危なくない,Unit 07
562,固い／硬い,かたい,"твердый, крепкий, тугой",このパンはとても固い,Unit 07
563,ぬるい,ぬるい,"остывший, холодный, снисходительный",温いコーヒーは美味しくない,Unit 07
564,まぶしい,まぶしい,"ослепительный, очень яркий",カーテンを開けたら、太陽が眩しかった,Unit 07
565,蒸し暑い,むしあつい,"душный, знойный",日本の夏は蒸し暑い,Unit 07
566,清潔な,せいけつな,чистый,清潔な服を身につける,Unit 07
567,新鮮な,しんせんな,"свежий, новый",新鮮な魚は美味しい,Unit 07
568,豊かな,ゆたかな,"обильный, богатый",豊かな資源,Unit 07
569,立派な,りっぱな,великолепный,立派な人,Unit 07
570,正確な,せいかくな,"правильный, верный, точный, аккуратный",正確な数は分からないが、この観客は五千人ぐらいだろう,Unit 07
571,確かな,たしかな,"достоверный, надежный, прочный",新聞は確かな事実だけを伝えなければならない,Unit 07
572,重要な,じゅうような,"важный, серьезный",今日は午後から重要な会議がある,Unit 07
573,必要な,ひつような,необходимый,子供に必要なのは、親の温かい愛情だ,Unit 07
574,もったいない,もったいない,"расточительно, не бережно, не дело, не годится",流行遅れでも、まだ着られる服を捨てるのは勿体ない,Unit 07
575,すごい,すごい,"крутой, круто",昨日の台風はすごかった,Unit 07
576,ひどい,ひどい,"жестокий, ужасный, несправедливый",一人を大勢で苛めるとは酷い,Unit 07
577,激しい,はげしい,"сильный, яростный",雨が激しい,Unit 07
578,そっくりな,そっくりな,"нетронутый, как есть",兄は父に顔も声もそっくりだ,Unit 07
579,急な,きゅうな,"срочный, внезапный",急に歯が痛みだした,Unit 07
580,適当な,てきとうな,"подходящий, соответствующий",家庭教師を探しているが、適当な人が中々いない,Unit 07
581,特別な,とくべつな,"особый, специальный, исключительный",彼女には音楽家としての特別な才能がある,Unit 07
582,完全な,かんぜんな,"совершенный, полный, целый, целиком",土の中から古代の器が完全な形で出てきた,Unit 07
583,盛んな,さかんな,"процветающий, успешный, сильный, энергичный",私の故郷は農業が盛んだ,Unit 07
584,様々な,さまざまな,"всяческие, всевозможные",インタネットから様々な情報が得られる,Unit 07
585,可能な,かのうな,возможный,科学が進歩して、今まで不可能だったことも可能になった,Unit 07
586,不可能な,ふかのうな,невозможный,不可能な計画なら、始めから立てないほうがいい,Unit 07
587,基本的な,きほんてきな,"основной, стандартный",パソコンの基本的な使い方はマニュアルに書いてある,Unit 07
588,国際的な,こくさいてきな,"международный, мировой",東京で国際的なアニメフェスティバルが開かれた,Unit 07
589,ばらばらな,ばらばらな,разрозненный,皆の意見がばらばらで、中々結論が出ない,Unit 07
590,ぼろぼろな,ぼろぼろな,"оборванный, изодранный, ветхий",ぼろぼろな服,Unit 07
591,非常に,ひじょうに,"чрезвычайно, необыкновенно, очень",これは非常に高価な物ですので、気をつけて運んでください,Unit 08
592,大変（に）,たいへん（に）,ужасно,朝夕は電車が大変込むので、疲れる,Unit 08
593,ほとんど,ほとんど,"почти, чуть не, почти все",準備は殆どできた,Unit 08
594,大体,だいたい,"в общем, в целом, в основном, по сути",今日の試験は大体できた,Unit 08
595,かなり,かなり,"довольно, изрядно, прилично",頭痛の薬を飲んだら、三十分ぐらいで可也良くなった,Unit 08
596,ずいぶん,ずいぶん,"порядком, весьма и весьма",暫く会わない間に、チンさんは随分日本語が上手になっていた,Unit 08
597,けっこう,けっこう,"прекрасный, превосходный, великолепный",日曜日なので、込んでいるかと思ったら、結構空いていた,Unit 08
598,大分,だいぶ／だいぶん,"изрядно, немало, весьма",病気は大分良くなった,Unit 08
599,もっと,もっと,"больше, более",リンゴよりイチゴのほうが好きだ、でもメロンはもっと好きだ,Unit 08
600,しっかり,しっかり,"крепко, надежно",桜の花はもうすっかり散ってしまった,Unit 08
601,一杯,いっぱい,полный,会場には子供たちが一杯いて、とても賑やかだった,Unit 08
602,ぎりぎり,ぎりぎり,"на пределе, только-только, в обрез, с натягом",走れば、九時の電車にぎりぎり間に合うだろう,Unit 08
603,ぴったり（と）,ぴったり（と）,"плотно, точно, идеально, как раз",七時ぴったりに目覚まし時計をセットした,Unit 08
604,たいてい,たいてい,обычно,日曜日は大抵家にいます,Unit 08
605,同時に,どうじに,"одновременно, синхронно",二人は同時にゴールした,Unit 08
606,前もって,まえもって,заранее,もし欠席する場合は、前もってご連絡します,Unit 08
607,すぐ（に）,すぐ（に）,"сразу же, сейчас же, скоро",チャイムを鳴らすと、すぐにドアが開いた,Unit 08
608,もうすぐ,もうすぐ,"вскоре, скоро",日本へ来て、もうすぐ三年になる,Unit 08
609,突然,とつぜん,"неожиданно, внезапно, вдруг",子供が突然飛び出してきたので、急ブレーキを掛けた,Unit 08
610,あっという間（に）,あっというま（に）,в мгновение ока,子供の成長は早い、あっという間に、もう小学生だ,Unit 08
611,いつの間にか,いつのまにか,"незаметно, мгновенно, не успеешь оглянуться",いつの間にか、外は暗くなっていた,Unit 08
612,しばらく,しばらく,"некоторое время, немного",ただ今窓口が込んでいますので、もう暫くお待ちください,Unit 08
613,ずっと,ずっと,"все время, гораздо (более), далеко",バスよりも地下鉄で行くほうがずっと速い,Unit 08
614,相変わらず,あいかわらず,без изменений,あの女優は年を取った今も相変わらずきれいだ,Unit 08
615,次々に／と,つぎつぎに／と,"друг за другом, один за другим",新しいタイプのインスタント食品が次々に発売されている,Unit 08
616,どんどん,どんどん,"стучать. барабанить, быстро, скоро, много",今日は体調も良く、仕事がどんどん進んだ,Unit 08
617,ますます,ますます,все более и более,朝から降っていた雨は、午後になると益々強くなった,Unit 08
618,やっと,やっと,"наконец-то, еле-еле, кое-как, с трудом",三十分も待って、やっとバスが来た,Unit 08
619,とうとう,とうとう,"в конце концов, наконец",長い間使っていた洗濯機が到頭壊れてしまった,Unit 08
620,ついに,ついに,"наконец, в конце концов",若い頃の夢を遂に実現することができた,Unit 08
621,もちろん,もちろん,конечно,マンションを買った、勿論、ローンでだ,Unit 08
622,やはり,やはり,"все-таки, все равно, также, тоже",矢張りAチームが勝った、予想通りだった,Unit 08
623,きっと,きっと,"непременно, обязательно, наверняка",田中さんはいつも遅刻するから、今日もきっと遅れてくるだろう,Unit 08
624,ぜひ,ぜひ,"непременно, обязательно",若いときに、是非留学したいと思っている,Unit 08
625,なるべく,なるべく,"по возможности, насколько возможно",成るべく辞書を見ないで、この本を読んでみてください,Unit 08
626,案外,あんがい,"неожиданно, вопреки предположениям",今日は曇っているが、案外暖かい,Unit 08
627,もしかすると／もしかしたら／もしかして,もしかすると／もしかしたら／もしかして,"вдруг, возможно",体調が悪いので、もしかすると、明日休むかもしれません,Unit 08
628,まさか,まさか,не может быть,あの二人、離婚するそうだよ、真逆あんなに仲が良くかったのに,Unit 08
629,うっかり,うっかり,"рассеянно, невнимательно",うっかりして、砂糖と塩を間違えて入れてしまった,Unit 08
630,つい,つい,"невольно, нечаянно",禁煙しようと思うのだが、食事の後などについ吸ってしまう,Unit 08
631,思わず,おもわず,"невольно, невзначай",夜道で急に肩を叩かれ、思わずワーッと叫んでしまった,Unit 08
632,ほっと,ほっと,глубоко (вздохнуть) облегченно,試験が終わってほっとした,Unit 08
633,いらいら,いらいら,"раздраженно, нервно",急いでいるのに、バスが中々来なくて、いらいらした,Unit 08
634,のんびり,のんびり,"беззаботно, расслабленно, лениво, неторопливо",半年ほどとても忙しかった、温泉へでも行ってのんびりしたい,Unit 08
635,実は,じつは,по правде,昨日言ったことは、実は嘘なんです,Unit 08
636,読書,どくしょ,чтение,趣味は読書だ,Unit 09
637,演奏,えんそう,музыкальное исполнение,楽器を演奏する,Unit 09
638,芸術,げいじゅつ,искусство,美術、音楽、文学、演劇などは、みな、芸術の一種であると言える,Unit 09
639,検査,けんさ,"проверка, осмотр",胃の検査,Unit 09
640,血液,けつえき,кровь,体の中を血液が流れている,Unit 09
641,治療,ちりょう,лечение,病気を治療した,Unit 09
642,症状,しょうじょう,"симптомы, состояние (больного)",風邪の症状は熱、咳、鼻水などだ,Unit 09
643,予防,よぼう,"предупреждение, предотвращение, профилактика",風邪の予防,Unit 09
644,栄養,えいよう,"питание, питательность",栄養の、ある食べ物,Unit 09
645,手術,しゅじゅつ,хирургическая операция,胃の手術をした,Unit 09
646,死亡,しぼう,"смерть, кончина",死亡の原因を調べる,Unit 09
647,命,いのち,жизнь,命は大切にしなければならない,Unit 09
648,一生,いっしょう,вся жизнь,ピカソの一生を調べる,Unit 09
649,誤解,ごかい,"заблуждение, ошибка, недоразумение",誤解がないようにするには、良く話し合うことが大切だ,Unit 09
650,後悔,こうかい,"раскаяние, сожаление",私は若い頃に勉強しなかったことを、とても後悔している,Unit 09
651,訳,わけ,"смысл, значение, суть, причина",遅刻した訳を話す,Unit 09
652,態度,たいど,"отношение, позиция, поведение",あの学生は授業中の態度が悪い,Unit 09
653,癖,くせ,"привычка, манера, манерность",私の癖は困ったとき、頭を掻くことだ,Unit 09
654,礼儀,れいぎ,"манеры, приличия, этикет",目上の人への礼儀,Unit 09
655,文句,もんく,"слова, выражение, фраза, жалобы",給料に文句がある,Unit 09
656,表情,ひょうじょう,выражение (лица),顔の表情,Unit 09
657,表面,ひょうめん,"лицевая сторона. поверхность, наружность",水の表面,Unit 09
658,禁煙,きんえん,запрет курения,この部屋は禁煙です,Unit 09
659,禁止,きんし,"запрещение, запрет",美術館の中では、写真を撮ることは禁止されている,Unit 09
660,完成,かんせい,"завершение, окончание",建物が完成した,Unit 09
